section,handle,citation,source,open_access,contribution,hard_numbers,design_relevance,evidence_grade,limitations
A1,"HASEL-vs-muscle benchmark table — Rothemund et al., 2021","Rothemund, P., Kellaris, N., Mitchell, S. K., Acome, E., Keplinger, C. (2021). ""HASEL Artificial Muscles for a New Generation of Lifelike Robots — Recent Progress and Future Opportunities."" *Advanced Materials* 33, 2003375. (Online 2020.)",https://doi.org/10.1002/adma.202003375 — verified via PMC full text (https://pmc.ncbi.nlm.nih.gov/articles/PMC11469257/) and Semantic Scholar DOI record.,"yes (CC-BY, PMC11469257)","The authoritative side-by-side table of HASEL electrohydraulic artificial muscle performance against natural skeletal muscle, written by the group that invented the technology. It is the single best source for ""how close is the best electrostatic soft actuator to muscle, honestly.""","Natural muscle: 0.35 MPa stress, 20% typical / 40% max strain, 50 W/kg avg and 200 W/kg peak specific power, 8 J/kg typical / 40 J/kg max specific energy, 40% efficiency, 500 %/s peak strain rate, ~10⁹ cycle life. HASEL: 0.3 MPa (planar), 0.21 MPa (Peano), 0.09 MPa (HS-Peano); strain up to 124% (planar) / 118% (quadrant donut) / 24% (HS-Peano); 614 W/kg at resonance (planar), 360 W/kg peak (Peano); 70 J/kg at resonance; 19–21% efficiency; 126 Hz bandwidth (quadrant donut), 7400 %/s peak strain rate; drive voltages 10 kV (Peano), 12 kV (quadrant donut), 22.5 kV (planar); cycle life 10⁶ (elastomeric) and 10⁴–10⁵ (thermoplastic).","Sets the ceiling. HASEL matches muscle in *stress* (0.3 vs 0.35 MPa) and beats it in specific power, but that stress is only achievable over tiny cross-sections at 10–22 kV. It tells the team that the electroactive family is not stress-limited — it is cross-section, voltage and packaging limited.",D (review by the originating lab; underlying numbers are B),"Every number is per-actuator on a bench. Nothing here addresses carrying a static gravity load for minutes, backdriving under a 700 N leaning adult, or the 10–22 kV supply sitting inside a torso that a frail person touches. Cycle life of 10⁴–10⁵ for the thermoplastic variants is a few weeks of assistive duty at best. ---"
A1,"Electrohydraulic force/strain census — Tynan et al., 2025","Tynan, L., Gunawardana, U., Liyanapathirana, R., Perera, O., Esposito, D., Centracchio, J., Gargiulo, G. (2025). ""Review of Electrohydraulic Actuators Inspired by the HASEL Actuator."" *Biomimetics* 10(3), 152.",https://doi.org/10.3390/biomimetics10030152 — verified via PMC full text (https://pmc.ncbi.nlm.nih.gov/articles/PMC11939893/).,"yes (MDPI, CC-BY)","A complete tabulated census of every published electrohydraulic / HASEL-derived actuator variant with force, strain, voltage and specific power. This is the ""how much force has anyone ever actually gotten out of one of these"" table.","*Expanding:* elastomeric donut HASEL 2.45–3.92 N @ 21 kV, 40–50% strain; planar HASEL 2.45–14.72 N @ ~22.5 kV, 79% strain, 614 W/kg, 70 J/kg; quadrant HASEL (3-stack) ~60 N @ 12 kV, 118% strain, 121 W/kg, 12 J/kg; HEXEL <2 N; HAXEL 0.1–0.8 N @ 2 kV; LEAP 0.017 N. *Contracting:* Peano-HASEL (3-stack) 9.81–60 N @ 10 kV, 9–15% strain, 160 W/kg; HS Peano-HASEL 18 N @ 10 kV, 24% strain; HEXEL (contracting) 37.6 N @ 9.5 kV; EBM (6-series) ~7 N; electro-ribbon 0.172 N; EPP-BAM 0.981 N; HALVE 5 N @ 1.1 kV, 50.5 W/kg. Authors' conclusion quoted: *""low force and displacement still limit the viability of the soft actuators in real-life applications.""*","Kills the electroactive family for this project outright. The maximum force ever reported from any electrohydraulic actuator is ~60 N from a multi-unit stack at 12 kV — that is the whole end-effector target, from an actuator that then has to be multiplied by a moment arm. There is no path from this table to 10–40 Nm at a shoulder.",D (review; sources are B),"Review of bench characterisations only; no assembled limb, no sustained load-holding data, no contact-safety data. ---"
A1,"Soft shoulder actuator, measured at the joint — Zhang et al., 2024","Zhang, H., Naquila, G. J., Bae, J., Wu, Z.-H., Hingwe, A., Deshpande, A. D. (2024). ""Novel bio-inspired soft actuators for upper-limb exoskeletons: design, fabrication and feasibility study."" *Frontiers in Robotics and AI* 11, 1451231.",https://doi.org/10.3389/frobt.2024.1451231 — verified via Frontiers full text and Semantic Scholar DOI record. Preprint mirror: arXiv:2509.01145.,yes (CC-BY),"Two purpose-built silicone pneumatic actuators — LISPER (elbow) and SCASPER (shoulder) — characterised for torque, ROM and bandwidth, with an analytical pressure→torque model. The authors explicitly built SCASPER because LISPER's output was too weak for the shoulder, and published both numbers.","LISPER (elbow): 12.5 N max output force, **0.6 Nm max torque**, 112.2° ROM, 100 kPa max, 259 g, 132×55×92 mm. SCASPER (shoulder): 49.5 N max output force, **5.5 Nm max torque**, 122.5° ROM, 150 kPa max, 183 g, 122×91×132 mm. Bellows contribute ~35% of total output force. Authors state the LISPER ""output force … is insufficient to support motions of shoulder.""","This is the most direct measurement of the gap in the whole set. A purpose-designed, state-of-the-art, fully soft silicone shoulder actuator produces 5.5 Nm — roughly one seventh of the low end of a 10–40 Nm shoulder requirement, and it does so with no structural load path of its own.","B (hardware-validated; ""preliminary test on a dummy arm"", no humans)","Wearable actuator mounted on a human skeleton that carries the load; the torque number is assistive torque added to a limb, not torque a freestanding structure must generate and react. Dummy-arm testing only. No durability or contact-safety data. ---"
A1,"Dual-DOF soft shoulder exosuit with human trial — Chen et al., 2026","Chen, R., Chiaradia, D., Leonardis, D., Frisoli, A. (2026). ""Design and Characterization of a Dual-DOF Soft Shoulder Exosuit with Volume-Optimized Pneumatic Actuator."" arXiv preprint arXiv:2602.18212.",https://arxiv.org/abs/2602.18212 — verified by fetching both the arXiv abs page and the full HTML (https://arxiv.org/html/2602.18212).,yes (arXiv preprint; peer-review status unconfirmed),"A two-actuator soft pneumatic shoulder exosuit (curved abduction actuator + horizontal adduction actuator) with a geometry optimisation that cuts actuator volume while keeping torque, plus a 10-subject EMG study. It is currently the highest joint-level torque reported for a *fully soft pneumatic* shoulder actuator that has been on real people.","CAA max moment **9.7 Nm at ~90° abduction, 90 kPa**. HAA modelled max torque **10.93 Nm at β=60°, 90 kPa**, falling to 4.64 Nm at β=120°. Operating pressures swept 10–90 kPa; demonstrations at 80 kPa (CAA) and 50 kPa (HAA). Actuator volume 357 mL vs 555 mL baseline (−35.7%) at 94.2% torque retention; fall time 35.2% faster at 90 kPa. Wearable mass 390 g. Ten healthy subjects (5 M / 5 F, 27.1 ± 3.0 y); EMG reduction up to 59% (abduction, HAA only) and 63.7% (flexion, dual actuator) across seven muscles.","This is the practical ceiling number to quote in the design review: ~10 Nm per soft pneumatic shoulder actuator at 90 kPa. It lands at the very bottom of the 10–40 Nm band and only with a tuned geometry, a tether, and a human skeleton underneath.","A (hardware, 10 human subjects, EMG outcome measures) — with the caveat that this is a preprint.","Exosuit, not a freestanding arm: the torque is reacted through the wearer's torso. Healthy young subjects, not elderly or rehab patients. Tethered pneumatics. No leaning/impact load case. Preprint, unreviewed. ---"
A1,"Soft pneumatic bundles — highest verified torque from an all-soft module — Robertson et al., 2017","Robertson, M. A., Sadeghi, H., Florez, J. M., Paik, J. (2017). ""Soft Pneumatic Actuator Fascicles for High Force and Reliability."" *Soft Robotics* 4(1), 23–32.",https://doi.org/10.1089/soro.2016.0029 — verified via PMC full text (https://pmc.ncbi.nlm.nih.gov/articles/PMC5346960/).,yes (PMC5346960),"Bundling multiple thin fiber-reinforced soft pneumatic actuators into a ""fascicle"" beats a single actuator of equal volume on force, and scales to a multi-DOF platform. It is the clearest demonstration that soft pneumatics scale by *parallelism*, not by inflating one actuator bigger.","Single SPA 26 N blocked force, 28 g, 145 mm × 17 mm, ~2 Hz bandwidth. 4Pack fascicle **112 N blocked force**, 185 g, ~0.61 N/g, ~2 Hz. Full platform 945 g, **468 N total force capacity, 18 N·m maximum moment**, 1.33 Hz bandwidth. Operating pressure 200 kPa gauge (2 bar max). Fiber angle 75.2°, 16 wraps. Fascicle gains 23% force over an equivalent single SPA.","The 18 Nm figure is the single strongest ""yes it can"" data point in this literature, and it is the number to defend a soft pneumatic shoulder with. It also fixes the scaling law for the design: to double torque, double the number of actuators and the mass and the air flow. Bandwidth of 1.3–2 Hz sets the control ceiling for D1.","B (hardware-validated, no humans)","A bending platform, not a revolute shoulder — the 18 Nm is a bending moment over a short structure, with unknown behaviour under an off-axis leaning load. 2007-era silicone, no fatigue data at load. 200 kPa plumbing plus compressor is a large fraction of a freestanding torso's mass and noise budget, and 1.33 Hz is slow for reacting to a fall. ---"
A1,"Soft-rigid hybrid joint, the realistic fallback — Dimonte et al., 2026","Dimonte, G., Gandolla, M., Proietti, T. (2026). ""A bioinspired hybrid robotic joint for safer physical human–robot interaction."" *Bioinspiration & Biomimetics* 21(4), 046004.",https://doi.org/10.1088/1748-3190/ae72db — verified via IOPscience article page.,partial (IOP; check institutional access),"A rigid frame driven by an antagonistic pair of thermoplastic-polyurethane pneumatic artificial muscles, with two model-free controllers that regulate joint angle and joint compliance independently. Demonstrates that you can keep a tuneable-compliance, human-safe joint while getting force levels a fully soft link cannot reach.","PAM isometric force **400 N at 240 kPa**; stroke/stretchability 80 mm; material density 0.3 g/cm³. Position control <2° RMSE, <1% overshoot, rise time <1.3 s. **Stiffness modulation range 0.054–0.076 Nm/deg** (≈3.1–4.4 Nm/rad).","This is the architecture the project probably ends up with. 400 N of muscle force on a rigid moment arm of 50–100 mm gives 20–40 Nm directly — the target band — while antagonistic pressure still gives real, controllable compliance. It also supplies a measured stiffness range to quote in the safety case.","B (hardware-validated, no human subjects)","Single joint on a bench, not a two-arm torso. The stiffness modulation range is narrow (about 40% span) — it will not go floppy on demand. 240 kPa PAMs mean a compressor, valves and a plumbing failure mode. No impact or leaning-load testing, and the rigid frame reintroduces exactly the hard edges and pinch points the ""soft"" premise is trying to avoid. ---"
A1,"The honesty framing — Hawkes, Majidi & Tolley, 2021","Hawkes, E. W., Majidi, C., Tolley, M. T. (2021). ""Hard questions for soft robotics."" *Science Robotics* 6, eabg6049.",https://doi.org/10.1126/scirobotics.abg6049 — verified via the Semantic Scholar Graph API DOI record (publisher page returns 403 to automated fetch).,no (CLOSED per Unpaywall),"Three senior figures in the field argue that soft robotics has been coasting on ""soft for soft's sake"" and propose a three-tier test for whether a soft solution actually contributes: does softness enable something otherwise impossible, or is it decoration?",none reported (position piece).,"This is the paper to cite in the design review when justifying a soft-rigid hybrid over a fully soft arm. It gives the team permission — from the field's own leadership — to say ""we went soft only where softness buys safety, and rigid where it buys torque,"" and it is the strongest defence against a reviewer asking why the arm isn't monolithically soft.",D (review / position),No data. Purely a framing device. ---
A1,"Untethered soft pneumatic arm, whole-system numbers — Zuo et al., 2025","Zuo, R., Han, D. H., Li, R., Jamal, S., Bruder, D. (2025). ""UMArm: Untethered, Modular, Portable, Soft Pneumatic Arm."" arXiv preprint arXiv:2505.11476 (v2, Dec 2025).",https://arxiv.org/abs/2505.11476 — verified via arXiv abs page and full HTML (https://arxiv.org/html/2505.11476v2).,yes (arXiv preprint; peer-review status unconfirmed),"A complete untethered soft arm: 24 valve-embedded self-regulated McKibben actuators, no external pressure regulators, directionally tunable compliance, demonstrated as a wearable assistive arm. It is the closest published system to ""a soft arm you could bolt to a torso and run off-grid.""","**53.3 N blocked force at 1.15 kg arm mass** (regulators included). Max tested payload 2 kg. Input pressure 276 kPa (40 psi). 3 segments, 12 revolute joints, ±0.3 rad (±17.2°) per joint. 24 independently controlled McKibben actuators (8/segment). Antagonistic stiffness settings 14 / 55 / 110 kPa. Steady-state positional RMSE 0.85 mm at zero load, 110 kPa, 1× gain. Step settling 2–6 s depending on load and stiffness. Untethered runtime 11 min 45 s from a 1.11 L tank at 31 MPa.","Gives the team a system-level reality check that bench actuator specs never do: the *entire* soft arm produces 53 N — mid-band for the 10–100 N end-effector target — and runs for under 12 minutes untethered on a 310 bar tank. For a freestanding assistant, this says: plan for a tethered compressor, not bottled gas.","B (hardware-validated, no human-subject study)",Preprint. ±17° per joint is a small range. 2–6 s settling is far too slow to catch a stumbling person. No contact-safety or leaning-load characterisation. Runtime number effectively rules out an untethered pneumatic torso. ---
A1,"Electrohydraulic joint torque, measured — Kellaris et al., 2021","Kellaris, N., Rothemund, P., Zeng, Y., Mitchell, S. K., Smith, G. M., Jayaram, K., Keplinger, C. (2021). ""Spider-Inspired Electrohydraulic Actuators for Fast, Soft-Actuated Joints."" *Advanced Science* 8(14), 2100916.",https://doi.org/10.1002/advs.202100916 — verified via PMC full text (https://pmc.ncbi.nlm.nih.gov/articles/PMC8292915/).,"yes (CC-BY, PMC8292915)","The best-performing electrohydraulic *rotary joint* published — a spider-inspired soft joint combining Peano-HASEL and pouch-motor principles, characterised directly in torque rather than linear force.","**Blocked torque up to 70 mN·m.** Specific torque up to 21.2 N·m/kg (actuator mass only). Roll-off frequency up to 24 Hz. 6–9 kV DC. Actuator mass 1.36 g (2×4×1 cm). 70° range at 9 kV, ~180° in series. Specific power up to 230 W/kg. Rise time 12 ms, fall time 31 ms. >2000 cycles with <3% degradation. Holding power <1 mW vs 140 mW for a comparable servo.","The decisive negative result for the electroactive route. 70 mN·m is **~150–570× short** of a 10–40 Nm shoulder. The 21.2 N·m/kg specific torque is genuinely servo-class, but only if you ignore the kV supply mass; scaling the actuator mass to reach 40 Nm implies ~1.9 kg of actuator plus high-voltage electronics at the joint.","B (hardware-validated, no humans)","6–9 kV at a joint a frail person may grab. >2000 cycles is not a service life. Specific torque excludes driver mass, which dominates at this scale. ---"
A1,"Canonical HASEL — Acome et al., 2018","Acome, E., Mitchell, S. K., Morrissey, T. G., Emmett, M. B., Benjamin, C. E., King, M., Radakovitz, M., Keplinger, C. (2018). ""Hydraulically amplified self-healing electrostatic actuators with muscle-like performance."" *Science* 359(6371), 61–65.","https://doi.org/10.1126/science.aao6139 — verified via the Semantic Scholar Graph API DOI record (title, authors, venue, volume 359, pages 61–65, year 2018).",no,"The founding HASEL paper: electrostatic Maxwell stress pumps a liquid dielectric to produce large-strain, self-healing, muscle-like actuation.","Single-unit actuator 107% linear strain under a **250 g load**; two-unit actuator 124% linear strain under a **700 g load**. Peak specific power during contraction 614 W/kg, specific work 70 J/kg (two-unit), ~2× natural muscle peak specific power. (Cross-checked against Rothemund 2021 and Tynan 2025, which report the same values; the Science page itself is paywalled to automated fetch.)","The headline ""muscle-like"" claim that will come up in any design review — and the numbers that deflate it for this application. 700 g of load is ~7 N. Cite this with the load figure attached, not the power-density figure.","B (hardware-validated, no humans)","Load figures are grams, not tens of newtons. Liquid dielectric plus ~20 kV inside an assistive device that contacts skin is a hazard analysis the team does not want. ---"
